"island","site","transect","top_color","bowl_color","order","abundance","date traps out","date traps coll"
"Guam","Anao","L1","b","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Formicidae",6,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Crabronidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Formicidae",5,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Hemiptera",0,2018-01-12,2018-01-15
