"island","site","transect","top_color","bowl_color","order","abundance","dateout","datecoll","duration","order_abbrev"
"saipan","mtrl","L3","w","w","Lepidoptera",99,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","w","b","Lepidoptera",94,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","w","y","Lepidoptera",91,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","w","r","Lepidoptera",84,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","y","r","Lepidoptera",60,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","b","y","Hemiptera",53,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L1","y","y","Hemiptera",52,2018-01-17,2018-01-20,3,"Hemip"
"saipan","mtrl","L3","r","r","Lepidoptera",41,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","y","y","Lepidoptera",39,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","r","w","Lepidoptera",29,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","r","y","Lepidoptera",24,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","b","r","Hemiptera",23,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L3","y","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L3","b","b","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","b","y","Lepidoptera",23,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","b","b","Hemiptera",22,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L3","w","y","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","b","b","Lepidoptera",21,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","y","y","Apoidea",20,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","r","y","Apoidea",20,2018-01-17,2018-01-20,3,"Apoid"
"saipan","mtrl","L3","b","r","Lepidoptera",20,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","y","y","Diptera",18,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","r","w","Coleoptera",18,2018-01-17,2018-01-20,3,"Coleo"
"guam","race","L3","b","y","Formicidae",17,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbig","L1","b","y","Diptera",17,2018-01-17,2018-01-20,3,"Dipte"
"guam","race","L2","y","y","Diptera",16,2018-01-12,2018-01-15,3,"Dipte"
"saipan","forbig","L1","b","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L3","r","r","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L1","y","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L1","r","w","Diptera",16,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L3","r","b","Lepidoptera",16,2018-01-17,2018-01-20,3,"Lepid"
"guam","nblas","L2","r","w","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L1","w","r","Formicidae",15,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbia","L2","b","y","Diptera",15,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","r","w","Diptera",15,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","y","w","Lepidoptera",15,2018-01-17,2018-01-20,3,"Lepid"
"guam","riti","L3","w","r","Isoptera",14,2018-01-12,2018-01-15,3,"Isopt"
"saipan","forbig","L3","r","y","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","r","y","Apoidea",14,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","r","y","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","y","w","Lepidoptera",14,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","y","r","Apoidea",13,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L3","w","y","Diptera",13,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","w","r","Lepidoptera",13,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L3","y","b","Lepidoptera",13,2018-01-17,2018-01-20,3,"Lepid"
"guam","nblas","L2","r","b","Formicidae",12,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbig","L2","y","r","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","w","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","b","w","Diptera",12,2018-01-17,2018-01-20,3,"Dipte"
"guam","riti","L3","w","b","Isoptera",11,2018-01-12,2018-01-15,3,"Isopt"
"saipan","forbia","L3","b","w","Crabronidae",11,2018-01-17,2018-01-20,3,"Crabr"
"saipan","forbig","L1","y","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","b","w","Hemiptera",11,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L2","y","w","Apoidea",11,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L3","b","y","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L3","y","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","r","w","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","y","y","Diptera",11,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L2","b","b","Lepidoptera",11,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","y","b","Hemiptera",10,2018-01-17,2018-01-20,3,"Hemip"
"saipan","ladta","L2","b","w","Diptera",10,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","b","w","Diptera",10,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","b","r","Lepidoptera",10,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","y","y","Diptera",10,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L2","b","y","Lepidoptera",10,2018-01-17,2018-01-20,3,"Lepid"
"guam","anao","L2","b","b","Formicidae",9,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbig","L1","y","y","Trichoptera",9,2018-01-17,2018-01-20,3,"Trich"
"saipan","forbig","L2","w","b","Crabronidae",9,2018-01-17,2018-01-20,3,"Crabr"
"saipan","forbig","L3","b","w","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L1","r","b","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","w","y","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","b","w","Apoidea",9,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","y","r","Lepidoptera",9,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","y","w","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","b","y","Diptera",9,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","b","y","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","r","w","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","r","w","Lepidoptera",8,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","b","r","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","y","y","Crabronidae",8,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladtg","L1","b","y","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","r","b","Diptera",8,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","b","r","Apoidea",8,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","w","w","Apoidea",8,2018-01-17,2018-01-20,3,"Apoid"
"guam","nblas","L3","w","b","Formicidae",7,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L2","w","w","Diptera",7,2018-01-12,2018-01-15,3,"Dipte"
"saipan","forbia","L2","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","w","r","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L3","b","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","y","b","Trichoptera",7,2018-01-17,2018-01-20,3,"Trich"
"saipan","forbig","L1","y","y","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","y","y","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L3","w","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L3","r","y","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladta","L2","y","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","y","w","Crabronidae",7,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladta","L2","w","w","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","r","w","Apoidea",7,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","r","w","Coleoptera",7,2018-01-17,2018-01-20,3,"Coleo"
"saipan","ladtg","L3","b","b","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","y","y","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","y","b","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L1","b","b","Diptera",7,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L2","y","w","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L2","y","b","Lepidoptera",7,2018-01-17,2018-01-20,3,"Lepid"
"guam","anao","L1","y","w","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"guam","anao","L1","r","r","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"guam","nblas","L2","r","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L1","b","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L2","y","r","Formicidae",6,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L2","w","y","Diptera",6,2018-01-12,2018-01-15,3,"Dipte"
"saipan","forbia","L1","b","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L1","w","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","r","b","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","r","w","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","b","w","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","b","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","b","r","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","y","r","Hemiptera",6,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L1","b","y","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
"saipan","forbig","L1","r","y","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","y","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","r","b","Diptera",6,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L1","r","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","w","y","Apoidea",6,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladta","L2","r","r","Coleoptera",6,2018-01-17,2018-01-20,3,"Coleo"
