"SiteID","Year","Crop"
"ARM",2016,"soybean"
"EIA",2016,"soybean"
"RHO",2016,"corn"
"WHI",2016,"corn"
"ARM",2017,"corn"
"EIA",2017,"corn"
"MCN",2017,"corn"
"RHO",2017,"corn"
"WHI",2017,"soybean"
"WOR",2017,"soybean"
"ARM",2018,"soybean"
"EIA",2018,"soybean"
"MCN",2018,"soybean"
"RHO",2018,"corn"
"WHI",2018,"corn"
"WOR",2018,"corn"
"ARM",2019,"corn"
"GUT",2019,"corn"
"MCN",2019,"corn"
"NYK",2019,"corn"
"RDM",2019,"soybean"
"RHO",2019,"corn"
"SLO",2019,"soybean"
"SMI",2019,"corn"
"STN",2019,"soybean"
"WHI",2019,"soybean"
"WOR",2019,"corn"
"ARM",2020,"soybean"
"RHO",2020,"corn"
"WHI",2020,"corn"
"WOR",2020,"soybean"
