SiteID,Year,Time,Mppt,StartDate,EndDate,station
ARM,2016,1,7.8994,5/19/2016,6/16/2016,IA0364
ARM,2016,2,4.572,6/16/2016,6/30/2016,IA0364
ARM,2017,1,12.065,5/3/2017,5/24/2017,IA0364
ARM,2017,2,1.219454,5/24/2017,6/7/2017,IA0364
ARM,2017,3,10.1854,6/7/2017,6/27/2017,IA0364
ARM,2018,1,6.756908,5/14/2018,6/5/2018,IA0364
ARM,2018,2,6.096254,6/5/2018,6/14/2018,IA0364
ARM,2018,3,15.6972,6/14/2018,6/28/2018,IA0364
ARM,2019,1,18.6944,5/10/2019,6/5/2019,IA0364
ARM,2019,2,5.5118,6/5/2019,6/25/2019,IA0364
ARM,2019,3,8.1026,6/25/2019,7/16/2019,IA0364
ARM,2020,1,9.3726,5/6/2020,5/27/2020,IA0364
ARM,2020,2,2.9972,5/27/2020,6/25/2020,IA0364
ARM,2020,3,6.4008,6/25/2020,8/4/2020,IA0364
EIA,2016,1,8.204454,5/18/2016,6/7/2016,IA1319
EIA,2016,2,16.2306,6/7/2016,6/29/2016,IA1319
EIA,2017,1,7.239254,5/2/2017,5/25/2017,IA1319
EIA,2017,2,2.260854,5/25/2017,6/9/2017,IA1319
EIA,2017,3,9.017254,6/9/2017,6/30/2017,IA1319
EIA,2018,1,10.0076,5/8/2018,5/30/2018,IA1319
EIA,2018,2,8.484108,5/30/2018,6/12/2018,IA1319
EIA,2018,3,12.9794,6/12/2018,6/27/2018,IA1319
GUT,2019,1,7.721854,6/7/2019,6/21/2019,IA0200
GUT,2019,2,9.9314,6/21/2019,7/15/2019,IA0200
GUT,2019,3,5.1308,7/15/2019,8/14/2019,IA0200
MCN,2017,1,3.251454,5/18/2017,5/31/2017,IA1394
MCN,2017,2,1.9558,5/31/2017,6/22/2017,IA1394
MCN,2017,3,3.5306,6/22/2017,7/13/2017,IA1394
MCN,2018,1,5.6388,5/9/2018,5/31/2018,IA1394
MCN,2018,2,6.8072,5/31/2018,6/13/2018,IA1394
MCN,2018,3,12.6492,6/13/2018,7/3/2018,IA1394
MCN,2019,1,7.2136,5/15/2019,5/23/2019,IA1394
MCN,2019,2,14.1478,5/23/2019,6/5/2019,IA1394
MCN,2019,3,6.4008,6/5/2019,6/28/2019,IA1394
NYK,2019,1,5.029708,5/10/2019,5/20/2019,IA3438
NYK,2019,2,13.589,5/20/2019,5/29/2019,IA3438
NYK,2019,3,1.600454,5/29/2019,6/13/2019,IA3438
NYK,2019,4,9.068816,6/13/2019,7/10/2019,IA3438
NYK,2019,5,4.369054,7/10/2019,8/10/2019,IA3438
RDM,2019,1,9.373362,6/7/2019,6/24/2019,IA8706
RDM,2019,2,8.560308,6/24/2019,7/25/2019,IA8706
RDM,2019,3,4.013708,7/25/2019,8/13/2019,IA8706
RHO,2016,1,4.826,5/10/2016,6/1/2016,IA5198
RHO,2016,2,6.5278,6/7/2016,6/28/2016,IA5198
RHO,2017,1,9.474708,5/2/2017,5/25/2017,IA5198
RHO,2017,2,1.4224,5/25/2017,6/13/2017,IA5198
RHO,2017,3,6.6548,6/13/2017,7/11/2017,IA5198
RHO,2018,1,6.477,5/15/2018,6/6/2018,IA5198
RHO,2018,2,7.9756,6/6/2018,6/20/2018,IA5198
RHO,2018,3,15.1384,6/20/2018,7/2/2018,IA5198
RHO,2019,1,12.4714,5/22/2019,6/3/2019,IA5198
RHO,2019,2,7.0358,6/3/2019,6/19/2019,IA5198
RHO,2019,3,7.7216,6/19/2019,7/2/2019,IA5198
RHO,2020,1,5.5372,5/21/2020,6/3/2020,IA5198
RHO,2020,2,17.1196,6/3/2020,6/24/2020,IA5198
RHO,2020,3,1.6002,6/24/2020,8/5/2020,IA5198
SLO,2019,1,3.2512,5/15/2019,5/22/2019,IA4049
SLO,2019,2,13.6652,5/22/2019,6/4/2019,IA4049
SLO,2019,3,6.6294,6/4/2019,7/18/2019,IA4049
SLO,2019,4,6.1468,7/18/2019,8/13/2019,IA4049
SMI,2019,1,3.8608,5/27/2019,6/12/2019,IA1541
SMI,2019,2,10.8458,6/12/2019,7/1/2019,IA1541
SMI,2019,3,7.112,7/1/2019,7/24/2019,IA1541
STN,2019,1,5.5626,6/11/2019,7/12/2019,IA4049
STN,2019,2,3.6322,7/12/2019,7/25/2019,IA4049
STN,2019,3,3.6322,7/25/2019,8/14/2019,IA4049
WHI,2016,1,9.7536,5/12/2016,6/2/2016,IA4228
WHI,2016,2,5.0292,6/2/2016,6/23/2016,IA4228
WHI,2017,1,5.09649,5/18/2017,5/30/2017,IA4228
WHI,2017,2,4.5212,5/30/2017,6/23/2017,IA4228
WHI,2017,3,6.604,6/23/2017,7/14/2017,IA4228
WHI,2018,1,2.9972,5/22/2018,6/5/2018,IA4228
WHI,2018,2,12.471654,6/5/2018,6/22/2018,IA4228
WHI,2018,3,10.3632,6/22/2018,7/10/2018,IA4228
WHI,2019,1,6.6548,6/12/2019,6/25/2019,IA4228
WHI,2019,2,7.493,6/25/2019,7/23/2019,IA4228
WHI,2020,1,5.2832,5/11/2020,6/2/2020,IA4228
WHI,2020,2,5.2324,6/2/2020,6/16/2020,IA4228
WHI,2020,3,7.3152,6/16/2020,8/13/2020,IA4228
WOR,2017,1,8.255,5/16/2017,5/31/2017,IA0200
WOR,2017,2,3.734308,5/31/2017,6/23/2017,IA0200
WOR,2017,3,4.470654,6/23/2017,7/14/2017,IA0200
WOR,2018,1,3.9624,5/15/2018,6/7/2018,IA0200
WOR,2018,2,9.8552,6/7/2018,6/18/2018,IA0200
WOR,2018,3,10.9982,6/18/2018,6/29/2018,IA0200
WOR,2019,1,6.8834,5/15/2019,5/23/2019,IA0200
WOR,2019,2,8.5852,5/23/2019,6/3/2019,IA0200
WOR,2019,3,9.9822,6/3/2019,6/28/2019,IA0200
WOR,2020,1,6.6294,5/20/2020,6/2/2020,IA0200
WOR,2020,2,4.8514,6/2/2020,6/24/2020,IA0200
WOR,2020,3,2.3622,6/24/2020,7/30/2020,IA0200
