Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.37,9.26
Strips,top,2,4.39,7.12
Strips,top,3,4.39,5.2
Strips,top,4,4.36,26.67
Strips,top,5,4.39,4.44
Strips,top,6,4.33,7.03
Strips,top,7,4.39,7.41
Strips,top,8,4.42,5.78
Strips,top,9,4.36,5.54
Strips,top,10,4.36,4.45
Strips,middle,11,4.42,4.7
Strips,middle,12,4.42,10.11
Strips,middle,13,4.43,10.37
Strips,middle,14,4.42,69.04
Strips,middle,15,4.43,5.4
Strips,middle,16,4.43,18.31
Strips,middle,17,4.41,119.87
Strips,middle,18,4.45,89.22
Strips,middle,19,4.44,184.07
Strips,middle,20,4.45,8.75
Strips,bottom,21,4.44,5.54
Strips,bottom,22,4.43,22.75
Strips,bottom,23,4.43,4.65
Strips,bottom,24,4.46,11.17
Strips,bottom,25,4.44,11.94
Strips,bottom,26,4.44,6.1
Strips,bottom,27,4.43,6.44
Strips,bottom,28,4.44,13.16
Strips,bottom,29,4.44,16.75
Strips,bottom,30,4.43,4.68
Control,top,1,4.36,7.13
Control,top,2,4.37,9.87
Control,top,3,4.39,12.44
Control,top,4,4.42,17.3
Control,top,5,4.36,15.52
Control,top,6,4.39,40.48
Control,top,7,4.36,7.05
Control,top,8,4.36,34.65
Control,top,9,4.4,5.37
Control,top,10,4.38,5.14
Control,middle,11,4.66,9.71
Control,middle,12,8.26,350.46
Control,middle,13,4.68,7.43
Control,middle,14,4.7,5.06
Control,middle,15,4.69,13.86
Control,middle,16,4.68,14.39
Control,middle,17,4.67,5.31
Control,middle,18,4.7,33.08
Control,middle,19,4.72,49.04
Control,middle,20,4.68,7.1
Control,bottom,21,4.62,16.56
Control,bottom,22,4.62,35.82
Control,bottom,23,4.63,15.77
Control,bottom,24,4.61,21.24
Control,bottom,25,4.64,12.14
Control,bottom,26,4.65,7.23
Control,bottom,27,4.66,8.39
Control,bottom,28,4.63,14.27
Control,bottom,29,4.63,20.84
Control,bottom,30,4.63,36.41
