Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.33,5.66
Strips,top,2,4.4,6.61
Strips,top,3,4.76,7.2
Strips,top,4,4.89,8.89
Strips,top,5,4.65,6.12
Strips,top,6,4.66,6.86
Strips,top,7,4.93,8.51
Strips,top,8,5.19,8.98
Strips,top,9,4.4,8.41
Strips,top,10,5.11,9.53
Strips,middle,11,4.48,5.62
Strips,middle,12,5.38,11.13
Strips,middle,13,4.37,5.41
Strips,middle,14,5.19,8.26
Strips,middle,15,5.19,6.97
Strips,middle,16,4.51,12.13
Strips,middle,17,5.2,5.72
Strips,middle,18,4.4,11.58
Strips,middle,19,4.72,10.44
Strips,middle,20,4.61,6.39
Strips,bottom,21,4.45,6.79
Strips,bottom,22,4.59,8.12
Strips,bottom,23,4.71,7.18
Strips,bottom,24,4.41,5.24
Strips,bottom,25,4.66,6.4
Strips,bottom,26,4.57,5.69
Strips,bottom,27,4.61,7.93
Strips,bottom,28,5.02,5.36
Strips,bottom,29,4.8,5.6
Strips,bottom,30,4.89,11.66
Control,top,1,4.32,8.58
Control,top,2,4.31,4.5
Control,top,3,4.59,7.23
Control,top,4,4.66,6.73
Control,top,5,4.78,6.21
Control,top,6,4.64,8.55
Control,top,7,4.53,5.77
Control,top,8,4.29,6.76
Control,top,9,5.09,7.75
Control,top,10,4.72,4.97
Control,middle,11,4.71,36.55
Control,middle,12,4.76,20.93
Control,middle,13,5.18,7.51
Control,middle,14,4.43,8.82
Control,middle,15,4.44,18.82
Control,middle,16,4.93,17.7
Control,middle,17,4.44,5.03
Control,middle,18,8.54,49.65
Control,middle,19,4.44,8.09
Control,middle,20,4.49,17.3
Control,bottom,21,4.43,6.96
Control,bottom,22,5.03,8.12
Control,bottom,23,4.52,14.69
Control,bottom,24,4.43,6.58
Control,bottom,25,4.73,6.85
Control,bottom,26,4.93,19
Control,bottom,27,4.78,9.59
Control,bottom,28,4.79,6.64
Control,bottom,29,4.35,7.33
Control,bottom,30,4.91,7.93
