Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.28,26.32
Strips,top,2,5.12,14.61
Strips,top,3,4.42,12.85
Strips,top,4,4.5,18.56
Strips,top,5,5.19,18.1
Strips,top,6,4.51,14.55
Strips,top,7,4.39,18.86
Strips,top,8,4.48,15.13
Strips,top,9,4.43,26.17
Strips,top,10,4.43,23.37
Strips,middle,11,4.17,17.45
Strips,middle,12,4.75,40.76
Strips,middle,13,4.45,18.2
Strips,middle,14,4.94,9.09
Strips,middle,15,4.67,10.29
Strips,middle,16,4.82,18.04
Strips,middle,17,5.07,18.13
Strips,middle,18,4.36,10.8
Strips,middle,19,4.45,19.64
Strips,middle,20,4.61,35.22
Strips,bottom,21,5.08,15.67
Strips,bottom,22,4.4,13.07
Strips,bottom,23,4.77,11.83
Strips,bottom,24,5.04,10.74
Strips,bottom,25,4.95,11.87
Strips,bottom,26,4.37,7.18
Strips,bottom,27,5.21,15.48
Strips,bottom,28,4.58,12.53
Strips,bottom,29,4.4,7.4
Strips,bottom,30,4.89,22.21
Control,top,1,4.73,10.95
Control,top,2,5.09,18.95
Control,top,3,4.46,9.83
Control,top,4,4.39,9.68
Control,top,5,4.41,13.69
Control,top,6,4.33,11.2
Control,top,7,6.65,14.68
Control,top,8,4.89,14.67
Control,top,9,5.09,13.44
Control,top,10,4.53,19.34
Control,middle,11,4.45,13.76
Control,middle,12,4.63,20.54
Control,middle,13,5.01,24.05
Control,middle,14,4.43,11.51
Control,middle,15,5.06,12.33
Control,middle,16,4.54,10.18
Control,middle,17,4.63,10.58
Control,middle,18,4.25,11.85
Control,middle,19,4.39,9.2
Control,middle,20,4.62,20.73
Control,bottom,21,5.04,15.14
Control,bottom,22,4.36,18.19
Control,bottom,23,4.8,18.52
Control,bottom,24,4.8,11.54
Control,bottom,25,4.66,8.89
Control,bottom,26,4.24,11.16
Control,bottom,27,4.46,8.64
Control,bottom,28,4.76,9.04
Control,bottom,29,4.62,14.11
Control,bottom,30,4.72,10.83
