Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.18,17.09
Strips,top,2,8.28,51.62
Strips,top,3,8.27,36.48
Strips,top,4,8.24,13.38
Strips,top,5,8.47,21.37
Strips,top,6,8.26,24.23
Strips,top,7,8.45,17.77
Strips,top,8,8.44,12.89
Strips,top,9,8.47,14.5
Strips,top,10,8.21,21.11
Strips,middle,11,8.41,13.28
Strips,middle,12,8.47,12.57
Strips,middle,13,8.17,9.16
Strips,middle,14,8.18,10.4
Strips,middle,15,8.42,19.56
Strips,middle,16,8.42,16.62
Strips,middle,17,8.22,16.54
Strips,middle,18,8.43,21.74
Strips,middle,19,8.13,13.04
Strips,middle,20,8.43,21.65
Strips,bottom,21,8.46,11.36
Strips,bottom,22,8.42,13.46
Strips,bottom,23,8.43,12.4
Strips,bottom,24,8.46,11.77
Strips,bottom,25,8.49,9.6
Strips,bottom,26,8.25,10.14
Strips,bottom,27,8.3,9.95
Strips,bottom,28,8.42,15.25
Strips,bottom,29,8.2,9.48
Strips,bottom,30,8.14,24.58
Control,top,1,8.2,62.64
Control,top,2,8.51,124.64
Control,top,3,8.49,23.45
Control,top,4,8.2,30.13
Control,top,5,8.34,25.87
Control,top,6,8.46,23.21
Control,top,7,8.49,100.63
Control,top,8,8.34,170.08
Control,top,9,8.46,138.91
Control,top,10,8.2,25.93
Control,middle,11,8.45,53.6
Control,middle,12,8.25,13.37
Control,middle,13,8.29,15.68
Control,middle,14,8.24,13.04
Control,middle,15,8.21,12.99
Control,middle,16,8.28,18.47
Control,middle,17,8.24,16.59
Control,middle,18,8.13,30.3
Control,middle,19,8.41,27.91
Control,middle,20,8.18,12.58
Control,bottom,21,8.44,9.64
Control,bottom,22,8.43,13.78
Control,bottom,23,8.18,15.17
Control,bottom,24,8.17,14.15
Control,bottom,25,8.48,30.59
Control,bottom,26,8.22,12.96
Control,bottom,27,8.12,10.37
Control,bottom,28,8.5,50.35
Control,bottom,29,8.53,24.81
Control,bottom,30,8.19,79.37
