Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.32,49.84
Strips,top,2,8.25,13.36
Strips,top,3,8.28,11.63
Strips,top,4,8.19,34.86
Strips,top,5,8.11,24.1
Strips,top,6,8.46,10.74
Strips,top,7,8.17,12.8
Strips,top,8,8.69,100.53
Strips,top,9,8.41,9.81
Strips,top,10,8.41,11.88
Strips,middle,11,8.44,12.7
Strips,middle,12,8.5,12.46
Strips,middle,13,8.26,84.19
Strips,middle,14,8.28,16.82
Strips,middle,15,8.61,157.8
Strips,middle,16,8.34,80.29
Strips,middle,17,8.34,13.22
Strips,middle,18,8.24,92.47
Strips,middle,19,8.29,13.88
Strips,middle,20,8.34,9.04
Strips,bottom,21,8.34,22.09
Strips,bottom,22,8.29,11.03
Strips,bottom,23,8.31,9.7
Strips,bottom,24,8.44,9.01
Strips,bottom,25,8.31,10.41
Strips,bottom,26,8.22,14.2
Strips,bottom,27,8.34,13.8
Strips,bottom,28,8.23,15.34
Strips,bottom,29,8.27,44.24
Strips,bottom,30,8.28,10.69
Control,top,1,8.46,16.42
Control,top,2,8.33,12.53
Control,top,3,8.3,10.51
Control,top,4,8.3,11.39
Control,top,5,8.26,8.64
Control,top,6,8.31,11.63
Control,top,7,8.69,13.4
Control,top,8,8.45,12.23
Control,top,9,8.2,16.96
Control,top,10,8.45,11.32
Control,middle,11,8.32,11.09
Control,middle,12,8.29,15.99
Control,middle,13,8.33,14.62
Control,middle,14,8.32,18.32
Control,middle,15,8.38,17.55
Control,middle,16,8.27,11.96
Control,middle,17,8.31,13.97
Control,middle,18,8.3,10.65
Control,middle,19,8.33,9.56
Control,middle,20,8.47,22.5
Control,bottom,21,,
Control,bottom,22,8.35,46.34
Control,bottom,23,8.23,9.95
Control,bottom,24,8.44,71.6
Control,bottom,25,8.38,9.71
Control,bottom,26,8.33,49.81
Control,bottom,27,8.36,24.42
Control,bottom,28,8.23,11.63
Control,bottom,29,8.25,9.52
Control,bottom,30,8.22,14.55
