Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.0907,13.8618
Strips,top,2,8.4471,11.3428
Strips,top,3,8.3174,30.7646
Strips,top,4,8.2934,13.3052
Strips,top,5,8.4412,85.6
Strips,top,6,8.2988,12.8199
Strips,top,7,8.4983,10.8637
Strips,top,8,8.3539,15.5154
Strips,top,9,8.3343,16.0419
Strips,top,10,8.3275,12.3858
Strips,middle,11,8.3589,12.1709
Strips,middle,12,8.3237,11.2033
Strips,middle,13,8.3259,10.4642
Strips,middle,14,8.4571,9.4097
Strips,middle,15,8.3433,19.5902
Strips,middle,16,8.4435,84.3
Strips,middle,17,8.3378,12.1093
Strips,middle,18,8.3588,37.1354
Strips,middle,19,8.3059,36.6619
Strips,middle,20,8.3384,14.7771
Strips,bottom,21,8.2559,21.9657
Strips,bottom,22,8.3181,33.5839
Strips,bottom,23,8.248,13.5391
Strips,bottom,24,8.3341,46.1224
Strips,bottom,25,8.366,93.2
Strips,bottom,26,8.3677,67.1
Strips,bottom,27,8.305,109.1
Strips,bottom,28,8.1589,15.0939
Strips,bottom,29,8.3018,9.8185
Strips,bottom,30,8.2417,16.1679
Control,top,1,8.2892,43.5357
Control,top,2,8.1775,16.2476
Control,top,3,8.382,11.6409
Control,top,4,8.4595,10.4426
Control,top,5,8.5333,28.8181
Control,top,6,8.2908,18.8743
Control,top,7,8.5421,21.1261
Control,top,8,8.4827,
Control,top,9,8.2723,34.7946
Control,top,10,8.3487,15.7908
Control,middle,11,8.2742,14.5059
Control,middle,12,8.407,56.9
Control,middle,13,8.3467,18.0573
Control,middle,14,8.5506,
Control,middle,15,8.3033,20.2095
Control,middle,16,8.3174,52.8
Control,middle,17,8.283,26.8899
Control,middle,18,8.2927,54.7
Control,middle,19,8.5162,76.7
Control,middle,20,8.3284,13.8331
Control,bottom,21,8.3216,36.7119
Control,bottom,22,8.2392,17.0576
Control,bottom,23,8.3059,37.1845
Control,bottom,24,8.3268,
Control,bottom,25,8.3321,39.3486
Control,bottom,26,8.3778,56.3
Control,bottom,27,8.4432,25.7218
Control,bottom,28,8.4778,88.1
Control,bottom,29,8.3323,24.6936
Control,bottom,30,8.5438,48.4939
