Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.4272,22.0875
Strips,top,2,8.4323,15.95
Strips,top,3,8.5663,24.6745
Strips,top,4,8.4715,17.1822
Strips,top,5,8.5886,69.8
Strips,top,6,8.1544,16.8222
Strips,top,7,8.1222,21.1498
Strips,top,8,8.4246,22.0405
Strips,top,9,8.4799,17.9066
Strips,top,10,8.4011,18.4133
Strips,middle,11,8.4066,32.8135
Strips,middle,12,8.2459,13.4304
Strips,middle,13,8.4565,22.0988
Strips,middle,14,8.2594,17.4374
Strips,middle,15,8.2665,15.9524
Strips,middle,16,8.1825,17.4207
Strips,middle,17,8.2856,14.4877
Strips,middle,18,8.4033,44.646
Strips,middle,19,8.3506,28.5943
Strips,middle,20,8.4965,20.9216
Strips,bottom,21,17.1,46.1577
Strips,bottom,22,8.5008,150.2
Strips,bottom,23,8.4581,15.5183
Strips,bottom,24,8.6659,23.4407
Strips,bottom,25,8.4986,20.1222
Strips,bottom,26,8.4731,33.8048
Strips,bottom,27,8.2761,37.9545
Strips,bottom,28,8.4094,19.2462
Strips,bottom,29,8.2558,19.7153
Strips,bottom,30,8.3068,20.3883
Control,top,1,8.212,94.9
Control,top,2,8.5374,51.8
Control,top,3,8.2041,45.2352
Control,top,4,8.1908,24.713
Control,top,5,8.2734,52.6
Control,top,6,17.1,33.6402
Control,top,7,8.5443,71.1
Control,top,8,8.495,18.1456
Control,top,9,8.4699,92
Control,top,10,8.5329,16.2537
Control,middle,11,8.4327,13.4874
Control,middle,12,8.2243,58.2
Control,middle,13,8.3647,59.5
Control,middle,14,8.6236,44.4589
Control,middle,15,8.4889,22.9118
Control,middle,16,8.4434,28.0861
Control,middle,17,8.4067,20.0362
Control,middle,18,8.2873,23.9379
Control,middle,19,8.4658,59.4
Control,middle,20,8.2786,32.4919
Control,bottom,21,8.6759,20.0578
Control,bottom,22,17.1,17.1524
Control,bottom,23,8.3598,41.6812
Control,bottom,24,8.5213,31.9656
Control,bottom,25,8.418,18.2538
Control,bottom,26,8.1512,18.3769
Control,bottom,27,8.2921,19.3876
Control,bottom,28,8.5642,19.7289
Control,bottom,29,8.3116,16.1717
Control,bottom,30,8.497,14.8359
