Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.2701,21.5365
Strips,top,2,8.2454,30.6348
Strips,top,3,8.2318,33.7618
Strips,top,4,8.3775,115.5
Strips,top,5,8.3978,96.8
Strips,top,6,8.184,248.8
Strips,top,7,8.3064,41.536
Strips,top,8,8.3981,26.1712
Strips,top,9,8.2868,104.2
Strips,top,10,8.3419,50.4277
Strips,middle,11,8.4566,40.1734
Strips,middle,12,8.2555,72.8
Strips,middle,13,8.5041,122.8
Strips,middle,14,8.2937,36.7902
Strips,middle,15,8.5461,29.0172
Strips,middle,16,8.298,41.3096
Strips,middle,17,8.4963,38.5126
Strips,middle,18,8.1944,27.5101
Strips,middle,19,8.2722,33.4317
Strips,middle,20,8.2358,24.8183
Strips,bottom,21,8.3308,56.6
Strips,bottom,22,8.2347,51.6
Strips,bottom,23,8.5308,129.2
Strips,bottom,24,8.1873,113
Strips,bottom,25,8.5034,56.3
Strips,bottom,26,8.5468,78.8
Strips,bottom,27,8.5468,14.5577
Strips,bottom,28,8.46,78.2
Strips,bottom,29,8.5555,37.7222
Strips,bottom,30,8.2106,28.655
Control,top,1,8.3023,115.8
Control,top,2,8.2079,123.3
Control,top,3,8.52,33.3279
Control,top,4,8.4144,67.5
Control,top,5,8.4715,28.6671
Control,top,6,8.4826,32.3163
Control,top,7,8.2792,111.1
Control,top,8,8.3706,141
Control,top,9,8.5062,224.1
Control,top,10,8.9676,29.7855
Control,middle,11,9.1205,233.4
Control,middle,12,9.309,23.0297
Control,middle,13,9.1524,18.794
Control,middle,14,9.0922,114.4
Control,middle,15,8.4101,54.5
Control,middle,16,8.2731,49.2265
Control,middle,17,8.5258,25.1248
Control,middle,18,9.0726,39.2628
Control,middle,19,8.2653,58.3
Control,middle,20,9.0537,21.5206
Control,bottom,21,8.6235,88
Control,bottom,22,9.1031,53.1
Control,bottom,23,9.0066,106.6
Control,bottom,24,8.5053,298.9
Control,bottom,25,9.0761,79.7
Control,bottom,26,9.1298,163.2
Control,bottom,27,9.1202,36.3466
Control,bottom,28,9.084,17.7468
Control,bottom,29,9.08,114.7
Control,bottom,30,8.4189,24.3027
