"SiteID","Treatment","date","flow_mm","rain_mm","TSS_ppm","Year","station"
"ARM","control",2016-03-09,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-10,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-11,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-12,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-13,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-14,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-15,2.6162e-05,8.00000432,NA,2016,"IA0364"
"ARM","control",2016-03-16,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-17,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-18,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-19,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-20,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-21,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-22,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-23,0,11.00000594,NA,2016,"IA0364"
"ARM","control",2016-03-24,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-25,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-26,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-27,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-28,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-29,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-30,0,0,NA,2016,"IA0364"
"ARM","control",2016-03-31,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-01,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-02,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-03,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-04,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-05,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-06,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-07,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-08,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-09,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-10,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-11,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-19,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-20,0.0115637056,34.00001836,NA,2016,"IA0364"
"ARM","control",2016-04-21,0.0068292472,0,NA,2016,"IA0364"
"ARM","control",2016-04-22,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-23,0,0,NA,2016,"IA0364"
"ARM","control",2016-04-24,0,6.00000324,NA,2016,"IA0364"
"ARM","control",2016-04-25,0,0,NA,2016,"IA0364"
