"SiteID","Year","Treatment","date","flow_mm","rain_mm","TSS_ppm"
"ARM",2016,"control",2016-05-26,8.6515588208,63.00003402,49.8802787168
"ARM",2016,"strips",2016-05-26,0.4804373678,63.00003402,0.06595109248
"ARM",2016,"control",2016-05-27,1.039258526,6.00000324,5.9918109776
"ARM",2016,"strips",2016-05-27,0.149059138,6.00000324,0.02046179968
"ARM",2016,"control",2016-05-28,0.9598568306,1.00000054,5.53402307136
"ARM",2016,"control",2016-05-29,0.0225199956,0,0.12983836096
"ARM",2017,"control",2017-05-10,0.356308025,28.00001512,4.4848067544
"ARM",2017,"control",2017-05-11,0.0383669794,0,0.4829204744
"ARM",2017,"control",2017-05-16,1.7645463566,41.00002214,11.5708838448
"ARM",2017,"control",2017-05-17,0.9480267806,9.00000486,3.94813159216
"ARM",2017,"control",2017-05-18,0.319778761,10.0000054,1.09316013296
"ARM",2017,"control",2017-05-19,1.921213201,19.00001026,3.40821285392
"ARM",2017,"control",2017-05-20,2.7504074278,14.00000756,4.87919502784
"ARM",2017,"strips",2017-05-20,0.102787958,14.00000756,0.01411001424
"ARM",2017,"control",2017-05-21,0.0302302672,0,0.05362819616
"ARM",2017,"control",2017-06-14,0.0907485358,35.0000189,0.27501946192
"ARM",2017,"control",2017-06-16,7.373622667,55.0000297,27.0921603456
"ARM",2017,"strips",2017-06-16,1.2251390534,55.0000297,0.2328626048
"ARM",2017,"control",2017-06-17,0.4207331184,0,1.546065164
"ARM",2017,"strips",2017-06-17,0.1232273888,0,0.02342187008
"ARM",2019,"control",2019-05-23,0.00052578,8.00000432,0.00350861952
"ARM",2019,"control",2019-05-24,0.3299302266,44.00002376,2.16366677744
"ARM",2019,"control",2019-05-28,1.2727859482,24.00001296,8.39963362112
"ARM",2019,"strips",2019-05-28,1.7411307824,24.00001296,0.6532723176
"ARM",2019,"control",2019-07-16,0.2197277292,60.0000324,22.6274099632
"EIA",2016,"strips",2016-06-04,0.4843754346,28.00001512,0.11252438624
"EIA",2016,"strips",2016-06-05,0.382433322,0,0.08884239728
"EIA",2016,"control",2016-06-22,35.153029135,129.00006966,11.5071112688
"EIA",2016,"strips",2016-06-22,23.7959760554,129.00006966,0.75381824112
"EIA",2016,"control",2016-06-23,0.0890536954,4.00000216,0.0254700488
"EIA",2016,"strips",2016-06-23,0.6880201124,4.00000216,0.01382528672
"EIA",2016,"strips",2016-06-26,0.3642366604,20.0000108,0.20769177184
"EIA",2016,"strips",2016-06-27,0.0410250132,0,0.0233929136
"EIA",2018,"control",2018-06-09,6.0755943766,79.00004266,5.00409145712
"EIA",2018,"strips",2018-06-09,2.3853957118,79.00004266,30.1506339904
"EIA",2018,"control",2018-06-10,5.7381621584,3.00000162,4.72616939648
"EIA",2018,"strips",2018-06-10,3.6540953842,3.00000162,46.1865895456
"EIA",2018,"control",2018-06-11,0.00045974,0,0.0003779664
"EIA",2018,"strips",2018-06-11,0.00069088,0,0.00872395104
"EIA",2018,"control",2018-06-18,0.0025146,15.0000081,0.00041714288
"EIA",2018,"strips",2018-06-18,0.00107188,15.0000081,0.00014540512
"EIA",2018,"control",2018-06-19,0.6057511634,32.00001728,0.10051954416
"EIA",2018,"strips",2018-06-19,1.2853956258,32.00001728,0.17451598752
"EIA",2018,"control",2018-06-20,0.176043717,14.00000756,0.033653508
"EIA",2018,"strips",2018-06-20,0.2839447204,14.00000756,0.02704379776
"EIA",2018,"control",2018-06-21,34.5232965616,64.00003456,11.19707643824
"EIA",2018,"strips",2018-06-21,18.8623272994,64.00003456,1.42261159488
"EIA",2018,"control",2018-06-22,0.1995445336,0,0.06471906448
"MCN",2017,"strips",2017-05-19,0.6481338574,20.0000108,0.86233721056
"MCN",2018,"control",2018-05-12,0.3734884834,25.0000135,1.28754480064
"MCN",2018,"strips",2018-05-12,3.7714352308,25.0000135,9.95608342848
"MCN",2018,"control",2018-05-13,0.1609637624,0,0.5548981312
"MCN",2018,"strips",2018-05-13,0.1045157422,0,0.27590756256
"MCN",2018,"control",2018-05-15,0.693505979,10.0000054,3.53767450064
"MCN",2018,"strips",2018-05-15,1.934573982,10.0000054,7.92157110976
"MCN",2018,"control",2018-05-16,0.0315754004,0,0.16107064848
"MCN",2018,"control",2018-05-21,1.9298214642,25.0000135,2.29251147552
"MCN",2018,"strips",2018-05-21,8.1401436638,25.0000135,7.5844383496
"MCN",2018,"strips",2018-06-02,1.2383041274,30.0000162,2.10520825088
"MCN",2018,"control",2018-06-11,0.8406095202,13.00000702,0.3994373544
"MCN",2018,"strips",2018-06-11,1.8086521104,13.00000702,1.56606851744
"MCN",2018,"control",2018-06-12,0.4632214002,0,0.22011162656
"MCN",2018,"strips",2018-06-12,2.5851878192,0,2.23845216112
"MCN",2018,"control",2018-06-26,1.1422957342,12.00000648,0.94083837344
"MCN",2018,"strips",2018-06-26,2.5426304748,12.00000648,2.49575092928
