Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,5.04,10.71
Strips,top,2,4.59,6.9
Strips,top,3,4.29,11.37
Strips,top,4,4.43,5.22
Strips,top,5,4.42,8
Strips,top,6,4.38,7.64
Strips,top,7,4.6,7.26
Strips,top,8,4.4,6.02
Strips,top,9,4.29,7.48
Strips,top,10,4.22,9.93
Strips,middle,11,5.17,11.06
Strips,middle,12,4.99,14.98
Strips,middle,13,4.42,11.33
Strips,middle,14,4.76,6.29
Strips,middle,15,4.28,7.52
Strips,middle,16,4.71,10.13
Strips,middle,17,4.9,23.1
Strips,middle,18,4.78,8.53
Strips,middle,19,4.35,10.55
Strips,middle,20,4.56,15.71
Strips,bottom,21,4.37,10.63
Strips,bottom,22,4.78,7.72
Strips,bottom,23,4.74,9.04
Strips,bottom,24,4.81,9.82
Strips,bottom,25,4.29,10.15
Strips,bottom,26,4.85,8.66
Strips,bottom,27,4.26,20.32
Strips,bottom,28,5.14,7.2
Strips,bottom,29,4.63,9.49
Strips,bottom,30,4.3,8.59
Control,top,1,5.05,11.37
Control,top,2,4.59,17.78
Control,top,3,4.29,17.51
Control,top,4,4.43,9.06
Control,top,5,4.41,9.55
Control,top,6,4.37,8.96
Control,top,7,4.58,10.92
Control,top,8,4.38,15.11
Control,top,9,4.28,10.31
Control,top,10,4.22,8.81
Control,middle,11,5.17,15.11
Control,middle,12,4.99,8.7
Control,middle,13,4.42,8.08
Control,middle,14,4.76,12.8
Control,middle,15,4.28,12.66
Control,middle,16,4.72,8.03
Control,middle,17,4.89,8.98
Control,middle,18,4.78,13.59
Control,middle,19,4.36,13.43
Control,middle,20,4.57,8.3
Control,bottom,21,4.37,9.17
Control,bottom,22,4.76,10.46
Control,bottom,23,4.7,8.56
Control,bottom,24,4.78,9.08
Control,bottom,25,4.27,9.77
Control,bottom,26,4.82,14.45
Control,bottom,27,4.27,18.87
Control,bottom,28,5.13,10.11
Control,bottom,29,4.62,12.04
Control,bottom,30,4.3,10.18
