Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.35,4.44
Strips,top,2,4.28,4.77
Strips,top,3,4.65,6.37
Strips,top,4,4.38,5.68
Strips,top,5,4.78,6.73
Strips,top,6,4.59,5.16
Strips,top,7,4.3,5.53
Strips,top,8,4.26,5.13
Strips,top,9,5.02,6
Strips,top,10,4.39,4.81
Strips,middle,11,5.04,5.7
Strips,middle,12,5.08,6.59
Strips,middle,13,4.24,5.09
Strips,middle,14,4.19,5.27
Strips,middle,15,5.12,7.04
Strips,middle,16,4.49,5.15
Strips,middle,17,4.48,5.41
Strips,middle,18,4.45,5.36
Strips,middle,19,4.41,7.35
Strips,middle,20,4.24,5.04
Strips,bottom,21,4.41,4.75
Strips,bottom,22,4.73,5.43
Strips,bottom,23,4.72,6.26
Strips,bottom,24,4.53,5.51
Strips,bottom,25,4.4,6.54
Strips,bottom,26,4.59,5.22
Strips,bottom,27,4.61,5.2
Strips,bottom,28,5.04,5.78
Strips,bottom,29,4.64,6.06
Strips,bottom,30,4.64,5.3
Control,top,1,5.2,6.49
Control,top,2,4.58,5.58
Control,top,3,4.77,5.33
Control,top,4,4.4,5.5
Control,top,5,4.58,8.21
Control,top,6,4.36,5.73
Control,top,7,4.9,5.53
Control,top,8,4.47,19.07
Control,top,9,4.79,6.52
Control,top,10,5.22,6.21
Control,middle,11,4.71,9.23
Control,middle,12,4.27,46.06
Control,middle,13,4.72,6.93
Control,middle,14,4.73,5.53
Control,middle,15,5.12,7.7
Control,middle,16,4.49,6.25
Control,middle,17,4.8,6.05
Control,middle,18,4.78,5.87
Control,middle,19,4.26,44.26
Control,middle,20,4.73,6.09
Control,bottom,21,4.78,6.21
Control,bottom,22,4.78,7.27
Control,bottom,23,4.74,6.29
Control,bottom,24,4.3,7.39
Control,bottom,25,4.76,6.57
Control,bottom,26,4.42,5.65
Control,bottom,27,4.69,5.89
Control,bottom,28,4.61,8.48
Control,bottom,29,4.46,9.47
Control,bottom,30,4.45,5.76
