Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.69,6.68
Strips,top,2,4.42,5.73
Strips,top,3,4.72,6.6
Strips,top,4,4.28,7.88
Strips,top,5,5.21,11.29
Strips,top,6,4.42,10.74
Strips,top,7,4.66,6.99
Strips,top,8,5.16,7.99
Strips,top,9,4.55,12.38
Strips,top,10,4.42,9.23
Strips,middle,11,4.96,7.06
Strips,middle,12,4.68,7.44
Strips,middle,13,4.64,6.68
Strips,middle,14,4.35,5.18
Strips,middle,15,5.07,9.07
Strips,middle,16,4.45,5.29
Strips,middle,17,4.5,6.4
Strips,middle,18,4.43,6.53
Strips,middle,19,4.33,6.9
Strips,middle,20,4.32,8.05
Strips,bottom,21,4.78,7.07
Strips,bottom,22,4.41,5.92
Strips,bottom,23,4.97,7.73
Strips,bottom,24,4.41,6.15
Strips,bottom,25,4.68,7.6
Strips,bottom,26,4.24,10.67
Strips,bottom,27,4.94,6.97
Strips,bottom,28,4.71,7.84
Strips,bottom,29,4.28,6.33
Strips,bottom,30,4.43,8.04
Control,top,1,4.82,6.65
Control,top,2,5.07,6.53
Control,top,3,4.26,6.31
Control,top,4,4.88,5.83
Control,top,5,5.2,7.93
Control,top,6,4.6,7.27
Control,top,7,4.73,9.03
Control,top,8,4.73,6.94
Control,top,9,4.75,6.38
Control,top,10,4.46,6.42
Control,middle,11,4.46,9.97
Control,middle,12,4.52,9.94
Control,middle,13,4.9,6.54
Control,middle,14,4.35,5.74
Control,middle,15,4.46,6.62
Control,middle,16,5.06,7.14
Control,middle,17,4.66,6.24
Control,middle,18,4.32,5.84
Control,middle,19,4.74,7.15
Control,middle,20,4.38,7.11
Control,bottom,21,4.63,7.25
Control,bottom,22,5.06,7.94
Control,bottom,23,4.36,6.51
Control,bottom,24,4.23,10.45
Control,bottom,25,4.38,7.93
Control,bottom,26,4.63,7.48
Control,bottom,27,4.4,6.18
Control,bottom,28,4.26,6.93
Control,bottom,29,4.47,8.5
Control,bottom,30,4.57,11.91
