Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,4.47,26.32
Strips,top,2,4.78,24.16
Strips,top,3,5.14,13.08
Strips,top,4,4.71,50.15
Strips,top,5,4.27,12.8
Strips,top,6,4.73,18.48
Strips,top,7,4.72,23.51
Strips,top,8,5.11,16.24
Strips,top,9,4.48,36.28
Strips,top,10,4.8,33.27
Strips,middle,11,4.77,35.33
Strips,middle,12,9.42,69.98
Strips,middle,13,5.06,26.96
Strips,middle,14,4.18,14.72
Strips,middle,15,4.83,17.71
Strips,middle,16,5.18,28.97
Strips,middle,17,9.12,56.02
Strips,middle,18,4.38,23.17
Strips,middle,19,4.32,33.56
Strips,middle,20,5.06,45.06
Strips,bottom,21,4.39,14.77
Strips,bottom,22,4.69,27.75
Strips,bottom,23,4.43,20.36
Strips,bottom,24,4.25,14.37
Strips,bottom,25,4.4,10.61
Strips,bottom,26,4.64,16.8
Strips,bottom,27,4.37,18.42
Strips,bottom,28,4.18,18.63
Strips,bottom,29,4.65,10.97
Strips,bottom,30,4.36,16.73
Control,top,1,4.94,29.39
Control,top,2,4.74,16.56
Control,top,3,4.81,42.7
Control,top,4,4.8,10.13
Control,top,5,4.51,12.15
Control,top,6,4.44,8.16
Control,top,7,4.66,8.33
Control,top,8,4.35,7.71
Control,top,9,5.03,6.84
Control,top,10,4.66,15.75
Control,middle,11,4.46,23.13
Control,middle,12,4.28,26.53
Control,middle,13,4.7,12.57
Control,middle,14,4.64,24.78
Control,middle,15,4.33,12.11
Control,middle,16,4.78,6.04
Control,middle,17,4.41,13.03
Control,middle,18,4.64,29.74
Control,middle,19,4.27,36.27
Control,middle,20,4.71,12.41
Control,bottom,21,4.42,11.7
Control,bottom,22,4.45,16
Control,bottom,23,4.61,8.64
Control,bottom,24,5.2,11.89
Control,bottom,25,4.57,17.31
Control,bottom,26,4.77,8.23
Control,bottom,27,4.91,36.8
Control,bottom,28,4.59,15.16
Control,bottom,29,4.34,17.95
Control,bottom,30,4.94,32.81
