Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,9.09,11.54
Strips,top,2,8.44,26.14
Strips,top,3,8.3,45.15
Strips,top,4,8.28,9.59
Strips,top,5,8.43,9.85
Strips,top,6,8.28,96.2
Strips,top,7,8.48,10.02
Strips,top,8,8.31,21.16
Strips,top,9,8.27,9.72
Strips,top,10,8.29,17.17
Strips,middle,11,8.37,10.66
Strips,middle,12,8.32,13.14
Strips,middle,13,8.3,8.71
Strips,middle,14,8.43,11.54
Strips,middle,15,8.3,11.46
Strips,middle,16,8.44,10.61
Strips,middle,17,8.32,9.49
Strips,middle,18,8.31,19.95
Strips,middle,19,8.27,13.19
Strips,middle,20,8.33,15.2
Strips,bottom,21,8.25,12.3
Strips,bottom,22,8.31,9.95
Strips,bottom,23,8.24,9.17
Strips,bottom,24,8.36,94.49
Strips,bottom,25,8.37,22.7
Strips,bottom,26,8.36,23.86
Strips,bottom,27,8.28,40.56
Strips,bottom,28,8.16,27.99
Strips,bottom,29,,
Strips,bottom,30,,
Control,top,1,8.29,9.96
Control,top,2,,
Control,top,3,8.36,11.18
Control,top,4,8.45,16.62
Control,top,5,8.53,12.38
Control,top,6,8.3,14.64
Control,top,7,8.53,32.98
Control,top,8,8.47,43.74
Control,top,9,,
Control,top,10,8.35,9.38
Control,middle,11,8.28,8.36
Control,middle,12,,
Control,middle,13,8.33,23.41
Control,middle,14,8.55,14.63
Control,middle,15,8.3,30.43
Control,middle,16,8.29,42.72
Control,middle,17,8.27,20.53
Control,middle,18,8.28,12.65
Control,middle,19,8.52,10.43
Control,middle,20,8.34,10.1
Control,bottom,21,8.29,10.42
Control,bottom,22,8.24,44.08
Control,bottom,23,8.31,15.92
Control,bottom,24,8.32,26.58
Control,bottom,25,8.33,95.84
Control,bottom,26,8.38,44.42
Control,bottom,27,8.45,11.58
Control,bottom,28,8.4,8.96
Control,bottom,29,,
Control,bottom,30,8.56,19.45
