Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.44,10.23
Strips,top,2,8.47,83.88
Strips,top,3,8.63,73.47
Strips,top,4,8.46,30.33
Strips,top,5,8.66,91.33
Strips,top,6,8.2,103.3
Strips,top,7,8.13,9.96
Strips,top,8,8.44,13.42
Strips,top,9,8.49,19.24
Strips,top,10,8.44,15.58
Strips,middle,11,8.41,32.78
Strips,middle,12,8.25,12.94
Strips,middle,13,8.48,12.07
Strips,middle,14,8.36,78.29
Strips,middle,15,8.3,125.65
Strips,middle,16,8.2,27.41
Strips,middle,17,8.29,18.09
Strips,middle,18,8.49,167.08
Strips,middle,19,8.39,33.44
Strips,middle,20,8.6,45.28
Strips,bottom,21,8.69,405.63
Strips,bottom,22,8.56,120.77
Strips,bottom,23,8.51,98.7
Strips,bottom,24,8.98,290.71
Strips,bottom,25,8.51,16.16
Strips,bottom,26,8.48,112.59
Strips,bottom,27,8.3,111.52
Strips,bottom,28,8.42,12.33
Strips,bottom,29,8.42,181.78
Strips,bottom,30,8.33,37.02
Control,top,1,8.28,70.81
Control,top,2,8.63,66.18
Control,top,3,8.2,25.69
Control,top,4,8.21,32.58
Control,top,5,8.3,16.06
Control,top,6,8.66,421.62
Control,top,7,8.54,27.63
Control,top,8,8.49,56.37
Control,top,9,8.47,10.89
Control,top,10,8.54,24.88
Control,middle,11,8.46,61.59
Control,middle,12,8.27,67.64
Control,middle,13,8.37,50.13
Control,middle,14,8.69,127.62
Control,middle,15,8.59,241.07
Control,middle,16,8.45,62.93
Control,middle,17,8.42,13.93
Control,middle,18,8.32,259.22
Control,middle,19,8.48,73.48
Control,middle,20,8.27,32.62
Control,bottom,21,26.24,998.05
Control,bottom,22,9.48,441.47
Control,bottom,23,8.4,29.57
Control,bottom,24,8.53,22
Control,bottom,25,8.43,
Control,bottom,26,8.15,9.99
Control,bottom,27,8.28,10.47
Control,bottom,28,8.58,115.48
Control,bottom,29,8.46,112.2
Control,bottom,30,8.53,44.09
