Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.48,15.41
Strips,top,2,8.33,9.69
Strips,top,3,8.3,12.03
Strips,top,4,8.3,11.35
Strips,top,5,8.285,21.02
Strips,top,6,8.33,65.65
Strips,top,7,8.69,23.5
Strips,top,8,8.45,14.28
Strips,top,9,8.2,14.37
Strips,top,10,8.46,15.87
Strips,middle,11,,
Strips,middle,12,8.29,10.82
Strips,middle,13,8.34,20.3
Strips,middle,14,8.32,13.25
Strips,middle,15,8.41,16.95
Strips,middle,16,8.27,57.23
Strips,middle,17,8.3,11.22
Strips,middle,18,8.3,15.97
Strips,middle,19,8.34,11.38
Strips,middle,20,8.46,11.87
Strips,bottom,21,8.21,12.51
Strips,bottom,22,8.34,8.7
Strips,bottom,23,8.22,8.9
Strips,bottom,24,8.43,9.09
Strips,bottom,25,8.39,9.32
Strips,bottom,26,8.27,10.57
Strips,bottom,27,8.35,11.41
Strips,bottom,28,8.23,15.83
Strips,bottom,29,8.26,21.28
Strips,bottom,30,8.22,8.97
Control,top,1,8.3,11.41
Control,top,2,,
Control,top,3,8.28,9.18
Control,top,4,8.18,9.39
Control,top,5,8.1,9.75
Control,top,6,8.45,9.13
Control,top,7,8.18,12.68
Control,top,8,8.68,9.44
Control,top,9,8.41,8.84
Control,top,10,8.41,8.71
Control,middle,11,8.43,9.69
Control,middle,12,8.49,9.96
Control,middle,13,8.25,9.07
Control,middle,14,8.29,12.42
Control,middle,15,8.59,9.03
Control,middle,16,8.34,14.95
Control,middle,17,8.35,18.82
Control,middle,18,,
Control,middle,19,8.31,25.49
Control,middle,20,8.34,21.26
Control,bottom,21,8.34,17.16
Control,bottom,22,,
Control,bottom,23,8.32,23.06
Control,bottom,24,,
Control,bottom,25,8.31,27.69
Control,bottom,26,8.22,9.22
Control,bottom,27,8.33,11.84
Control,bottom,28,8.23,8.85
Control,bottom,29,8.27,9.8
Control,bottom,30,8.28,8.46
