Treatment,Position,Pan ID,Cup (g),Cup + soil
Strips,top,1,8.26,62.02
Strips,top,2,8.25,16.55
Strips,top,3,8.23,219.98
Strips,top,4,8.37,123.86
Strips,top,5,8.39,304.19
Strips,top,6,8.18,221.62
Strips,top,7,8.29,23.44
Strips,top,8,8.39,106.99
Strips,top,9,8.3,23.35
Strips,top,10,8.35,110.5
Strips,middle,11,8.46,96.8
Strips,middle,12,8.26,110.34
Strips,middle,13,8.48,25.1
Strips,middle,14,8.31,181.93
Strips,middle,15,8.52,26.38
Strips,middle,16,8.31,30.05
Strips,middle,17,8.51,56.16
Strips,middle,18,8.2,195.64
Strips,middle,19,8.27,42.28
Strips,middle,20,8.24,44.57
Strips,bottom,21,8.34,16.13
Strips,bottom,22,8.27,204.43
Strips,bottom,23,8.54,287.16
Strips,bottom,24,8.19,52.73
Strips,bottom,25,8.52,131.83
Strips,bottom,26,8.54,62.96
Strips,bottom,27,8.56,77.58
Strips,bottom,28,8.45,53.18
Strips,bottom,29,8.57,129.51
Strips,bottom,30,8.22,59.56
Control,top,1,8.28,21.35
Control,top,2,8.21,13.1
Control,top,3,8.51,32.2
Control,top,4,8.42,84.66
Control,top,5,8.47,34.09
Control,top,6,8.49,38.13
Control,top,7,8.28,44.3
Control,top,8,8.38,26.44
Control,top,9,8.51,37.97
Control,top,10,8.98,25.6
Control,middle,11,9.12,144.69
Control,middle,12,9.29,145.25
Control,middle,13,9.15,37.91
Control,middle,14,9.1,9.52
Control,middle,15,8.38,44.51
Control,middle,16,8.28,21.5
Control,middle,17,8.51,41.7
Control,middle,18,9.35,36.58
Control,middle,19,8.25,25.11
Control,middle,20,9.03,146.05
Control,bottom,21,8.57,212.15
Control,bottom,22,9.11,114.68
Control,bottom,23,9.01,22.2
Control,bottom,24,8.54,43.81
Control,bottom,25,9.06,15.93
Control,bottom,26,9.13,266.54
Control,bottom,27,9.12,16.41
Control,bottom,28,9.08,13.69
Control,bottom,29,9.09,40.33
Control,bottom,30,8.39,36.61
