"","treatment","Position","SiteID","time","weight"
"1","control","bottom","ARM","1",4.53849442107513
"2","control","bottom","ARM","2",7.01266952078653
"3","control","bottom","EIA","1",4.39838614387342
"4","control","bottom","EIA","2",3.86716053085323
"5","strips","bottom","RHO","1",4.6956111345271
"6","strips","bottom","RHO","2",5.03049615900213
"7","strips","bottom","WHI","1",7.27669664864176
"8","strips","bottom","WHI","2",4.41358119629621
"9","control","middle","ARM","1",6.7628703250999
"10","control","middle","ARM","2",4.16048390053295
"11","control","middle","EIA","1",3.17944719772961
"12","control","middle","EIA","2",6.4599957399188
"13","strips","middle","RHO","1",4.40307788293581
"14","strips","middle","RHO","2",4.64613376737735
"15","strips","middle","WHI","1",6.31158260783771
"16","strips","middle","WHI","2",5.24417847565018
"17","control","top","ARM","1",4.70034991156589
"18","control","top","ARM","2",5.56776426334221
"19","control","top","EIA","1",6.57793364049001
"20","control","top","EIA","2",2.7432508216947
"21","strips","top","RHO","1",6.54515503793799
"22","strips","top","RHO","2",7.06390394583678
"23","strips","top","WHI","1",4.23927143327576
"24","strips","top","WHI","2",6.67392120739995
"25","control","bottom","ARM","1",5.14932299454047
"26","control","bottom","ARM","2",3.24621262090986
"27","control","bottom","EIA","1",3.98819559392701
"28","control","bottom","EIA","2",5.76495467332964
"29","strips","bottom","RHO","1",4.87575432846686
"30","strips","bottom","RHO","2",5.03082853441795
"31","strips","bottom","WHI","1",4.28704391631523
"32","strips","bottom","WHI","2",4.76979438636057
"33","control","middle","ARM","1",4.49858166125076
"34","control","middle","ARM","2",4.2917185470422
"35","control","middle","EIA","1",4.74377312779521
"36","control","middle","EIA","2",3.45805515913492
"37","strips","middle","RHO","1",4.6040329228188
"38","strips","middle","RHO","2",7.08834805775014
"39","strips","middle","WHI","1",4.1602097884671
"40","strips","middle","WHI","2",4.0613239524815
"41","control","top","ARM","1",5.30414033863615
"42","control","top","ARM","2",7.49004656582513
"43","control","top","EIA","1",3.45566146169929
"44","control","top","EIA","2",6.86409468294269
"45","strips","top","RHO","1",1.91889415332486
"46","strips","top","RHO","2",4.23809437838367
"47","strips","top","WHI","1",5.82761601015735
"48","strips","top","WHI","2",5.60790121018021
"49","control","bottom","ARM","1",6.29329325269724
"50","control","bottom","ARM","2",5.07380911825402
"51","control","bottom","EIA","1",4.30755611256153
"52","control","bottom","EIA","2",5.12261127583908
"53","strips","bottom","RHO","1",4.81132520261903
"54","strips","bottom","RHO","2",5.44985963813178
"55","strips","bottom","WHI","1",5.52617214833495
"56","strips","bottom","WHI","2",6.37509769917421
"57","control","middle","ARM","1",7.29103647409091
"58","control","middle","ARM","2",1.97158520469889
"59","control","middle","EIA","1",4.60129553329077
"60","control","middle","EIA","2",6.50380365251516
"61","strips","middle","RHO","1",5.06829050430341
"62","strips","middle","RHO","2",3.70244383514597
"63","strips","middle","WHI","1",3.7488825332161
"64","strips","middle","WHI","2",5.33848309788292
"65","control","top","ARM","1",5.54184236973266
"66","control","top","ARM","2",2.40016601841223
"67","control","top","EIA","1",4.84672840935404
"68","control","top","EIA","2",5.00739896177085
"69","strips","top","RHO","1",6.62609890485967
"70","strips","top","RHO","2",6.24195811473696
