"Year","SiteID","Treatment","Position","Time","PadID","weight","Mppt","Days","wpd"
2016,"ARM","Strips","top",1,"ARM01T",42.44,7.8994,28,1.51571428571429
2016,"ARM","Strips","top",1,"ARM02T",3.39,7.8994,28,0.121071428571429
2016,"ARM","Strips","top",1,"ARM03T",0.59,7.8994,28,0.0210714285714286
2016,"ARM","Strips","top",1,"ARM04T",0.949999999999999,7.8994,28,0.0339285714285714
2016,"ARM","Strips","top",1,"ARM05T",0.0800000000000001,7.8994,28,0.00285714285714286
2016,"ARM","Strips","top",1,"ARM06T",0.779999999999999,7.8994,28,0.0278571428571428
2016,"ARM","Strips","top",1,"ARM07T",3.56,7.8994,28,0.127142857142857
2016,"ARM","Strips","top",1,"ARM08T",16.25,7.8994,28,0.580357142857143
2016,"ARM","Strips","top",1,"ARM09T",1.04,7.8994,28,0.0371428571428571
2016,"ARM","Strips","top",1,"ARM10T",1.17,7.8994,28,0.0417857142857143
2016,"ARM","Strips","middle",1,"ARM11T",2.72,7.8994,28,0.0971428571428571
2016,"ARM","Strips","middle",1,"ARM12T",0.47,7.8994,28,0.0167857142857143
2016,"ARM","Strips","middle",1,"ARM13T",5.75,7.8994,28,0.205357142857143
2016,"ARM","Strips","middle",1,"ARM14T",3.01,7.8994,28,0.1075
2016,"ARM","Strips","middle",1,"ARM15T",9.28,7.8994,28,0.331428571428571
2016,"ARM","Strips","middle",1,"ARM16T",2.92,7.8994,28,0.104285714285714
2016,"ARM","Strips","middle",1,"ARM17T",2.58,7.8994,28,0.0921428571428572
2016,"ARM","Strips","middle",1,"ARM18T",33.37,7.8994,28,1.19178571428571
2016,"ARM","Strips","middle",1,"ARM19T",6.13,7.8994,28,0.218928571428571
2016,"ARM","Strips","middle",1,"ARM20T",4.3,7.8994,28,0.153571428571429
2016,"ARM","Strips","bottom",1,"ARM21T",0.489999999999999,7.8994,28,0.0175
2016,"ARM","Strips","bottom",1,"ARM22T",30.94,7.8994,28,1.105
2016,"ARM","Strips","bottom",1,"ARM23T",0.77,7.8994,28,0.0275
2016,"ARM","Strips","bottom",1,"ARM24T",1.29,7.8994,28,0.0460714285714286
2016,"ARM","Strips","bottom",1,"ARM25T",0.11,7.8994,28,0.00392857142857144
2016,"ARM","Strips","bottom",1,"ARM26T",0.2,7.8994,28,0.00714285714285715
2016,"ARM","Strips","bottom",1,"ARM27T",1.08,7.8994,28,0.0385714285714286
2016,"ARM","Strips","bottom",1,"ARM28T",0.61,7.8994,28,0.0217857142857143
2016,"ARM","Strips","bottom",1,"ARM29T",6.98,7.8994,28,0.249285714285714
2016,"ARM","Strips","bottom",1,"ARM30T",6.51,7.8994,28,0.2325
2016,"ARM","Control","top",1,"ARM01C",13.99,7.8994,28,0.499642857142857
2016,"ARM","Control","top",1,"ARM02C",2.81,7.8994,28,0.100357142857143
2016,"ARM","Control","top",1,"ARM03C",21.4,7.8994,28,0.764285714285714
2016,"ARM","Control","top",1,"ARM04C",1.25,7.8994,28,0.0446428571428571
2016,"ARM","Control","top",1,"ARM05C",2.77,7.8994,28,0.0989285714285714
2016,"ARM","Control","top",1,"ARM06C",62.47,7.8994,28,2.23107142857143
2016,"ARM","Control","top",1,"ARM07C",4.7,7.8994,28,0.167857142857143
2016,"ARM","Control","top",1,"ARM08C",5.23,7.8994,28,0.186785714285714
2016,"ARM","Control","top",1,"ARM09C",27.31,7.8994,28,0.975357142857143
2016,"ARM","Control","top",1,"ARM10C",0.11,7.8994,28,0.00392857142857144
2016,"ARM","Control","middle",1,"ARM11C",31.43,7.8994,28,1.1225
2016,"ARM","Control","middle",1,"ARM12C",1.26,7.8994,28,0.045
2016,"ARM","Control","middle",1,"ARM13C",7.29,7.8994,28,0.260357142857143
2016,"ARM","Control","middle",1,"ARM14C",13.64,7.8994,28,0.487142857142857
2016,"ARM","Control","middle",1,"ARM15C",5.52,7.8994,28,0.197142857142857
2016,"ARM","Control","middle",1,"ARM16C",7.79,7.8994,28,0.278214285714286
2016,"ARM","Control","middle",1,"ARM17C",8.78,7.8994,28,0.313571428571429
2016,"ARM","Control","middle",1,"ARM18C",5.88,7.8994,28,0.21
2016,"ARM","Control","middle",1,"ARM19C",0.470000000000001,7.8994,28,0.0167857142857143
2016,"ARM","Control","middle",1,"ARM20C",0.59,7.8994,28,0.0210714285714286
2016,"ARM","Control","bottom",1,"ARM21C",61.82,7.8994,28,2.20785714285714
2016,"ARM","Control","bottom",1,"ARM22C",6.3,7.8994,28,0.225
